threshold,sensitivity,specificity,precision,recall,f1,accuracy,roc_auc,auprc,tp,tn,fp,fn
0.61,0.7805309734513274,0.6919085143186623,0.35492957746478876,0.7805309734513274,0.4879668049792531,0.7077214590241592,0.8096915666421177,0.4196200080038185,882,3600,1603,248
0.62,0.7513274336283186,0.7155487218912167,0.36453413482181196,0.7513274336283186,0.4908933217692975,0.7219327333017527,0.8096915666421177,0.4196200080038185,849,3723,1480,281
0.63,0.7336283185840708,0.738612339035172,0.37871174052078577,0.7336283185840708,0.49954805664356733,0.7377230380546345,0.8096915666421177,0.4196200080038185,829,3843,1360,301
0.64,0.7053097345132744,0.758793004036133,0.388401559454191,0.7053097345132744,0.5009428032683847,0.7492499605242381,0.8096915666421177,0.4196200080038185,797,3948,1255,333
0.65,0.6761061946902654,0.7812800307514896,0.40168243953732913,0.6761061946902654,0.503957783641161,0.7625138165166587,0.8096915666421177,0.4196200080038185,764,4065,1138,366
0.66,0.6469026548672566,0.7966557755141265,0.4086081609837898,0.6469026548672566,0.5008564576909901,0.7699352597505131,0.8096915666421177,0.4196200080038185,731,4145,1058,399
0.67,0.6256637168141593,0.8135690947530271,0.4215861657722123,0.6256637168141593,0.5037406483790524,0.7800410547923575,0.8096915666421177,0.4196200080038185,707,4233,970,423
0.68,0.6061946902654868,0.8272150682298673,0.432449494949495,0.6061946902654868,0.5047899778924098,0.7877783041212696,0.8096915666421177,0.4196200080038185,685,4304,899,445
0.6900000000000001,0.588495575221239,0.8399000576590429,0.4439252336448598,0.588495575221239,0.5060882800608828,0.7950418443075952,0.8096915666421177,0.4196200080038185,665,4370,833,465
0.7000000000000001,0.5610619469026549,0.8558523928502787,0.45809248554913296,0.5610619469026549,0.5043754972155927,0.8032528027790936,0.8096915666421177,0.4196200080038185,634,4453,750,496
0.71,0.5327433628318584,0.869498366327119,0.46994535519125685,0.5327433628318584,0.49937785151389463,0.8094110216327175,0.8096915666421177,0.4196200080038185,602,4524,679,528
0.72,0.5035398230088496,0.8806457812800308,0.4781512605042017,0.5035398230088496,0.49051724137931035,0.8133585978209379,0.8096915666421177,0.4196200080038185,569,4582,621,561
0.73,0.4849557522123894,0.8914088026138766,0.49236298292902064,0.4849557522123894,0.4886312973695943,0.8188852044844466,0.8096915666421177,0.4196200080038185,548,4638,565,582
0.74,0.4646017699115044,0.9010186430905247,0.5048076923076923,0.4646017699115044,0.4838709677419355,0.8231485867677246,0.8096915666421177,0.4196200080038185,525,4688,515,605
0.75,0.4433628318584071,0.9087065154718431,0.5133196721311475,0.4433628318584071,0.4757834757834758,0.8256750355281857,0.8096915666421177,0.4196200080038185,501,4728,475,629
0.76,0.42566371681415927,0.9156256006150298,0.5228260869565218,0.42566371681415927,0.4692682926829268,0.8282014842886468,0.8096915666421177,0.4196200080038185,481,4764,439,649
0.77,0.40530973451327434,0.9225446857582165,0.5319396051103368,0.40530973451327434,0.4600703164239076,0.8302542239065214,0.8096915666421177,0.4196200080038185,458,4800,403,672
0.78,0.3902654867256637,0.9265808187584086,0.5358444714459295,0.3902654867256637,0.45161290322580644,0.8308858360966367,0.8096915666421177,0.4196200080038185,441,4821,382,689
0.79,0.37079646017699114,0.9315779358062656,0.5406451612903226,0.37079646017699114,0.4398950131233596,0.8315174482867519,0.8096915666421177,0.4196200080038185,419,4847,356,711
0.8,0.34424778761061947,0.9373438400922545,0.544055944055944,0.34424778761061947,0.421680216802168,0.8315174482867519,0.8096915666421177,0.4196200080038185,389,4877,326,741
0.81,0.32212389380530976,0.939842398616183,0.5376661742983752,0.32212389380530976,0.4028776978417266,0.8296226117164062,0.8096915666421177,0.4196200080038185,364,4890,313,766
0.8200000000000001,0.3,0.9444551220449741,0.5398089171974523,0.3,0.3856655290102389,0.8294647086688773,0.8096915666421177,0.4196200080038185,339,4914,289,791
0.8300000000000001,0.28053097345132744,0.9486834518546993,0.5428082191780822,0.28053097345132744,0.36989498249708286,0.8294647086688773,0.8096915666421177,0.4196200080038185,317,4936,267,813
0.84,0.26371681415929205,0.9515664039976937,0.5418181818181819,0.26371681415929205,0.3547619047619048,0.828833096478762,0.8096915666421177,0.4196200080038185,298,4951,252,832
0.85,0.2424778761061947,0.954449356140688,0.5362035225048923,0.2424778761061947,0.3339427178549665,0.8274119690510027,0.8096915666421177,0.4196200080038185,274,4966,237,856
0.86,0.2247787610619469,0.9559869306169517,0.525879917184265,0.2247787610619469,0.31494110353378796,0.8255171324806568,0.8096915666421177,0.4196200080038185,254,4974,229,876
0.87,0.2097345132743363,0.9575245050932154,0.517467248908297,0.2097345132743363,0.29848866498740556,0.8240960050528975,0.8096915666421177,0.4196200080038185,237,4982,221,893
0.88,0.18672566371681415,0.9584854891408803,0.49414519906323184,0.18672566371681415,0.271034039820167,0.8207800410547924,0.8096915666421177,0.4196200080038185,211,4987,216,919
0.89,0.16902654867256636,0.9592542763790121,0.4739454094292804,0.16902654867256636,0.2491846053489889,0.8182535922943313,0.8096915666421177,0.4196200080038185,191,4991,212,939
0.9,0.15309734513274337,0.960023063617144,0.4540682414698163,0.15309734513274337,0.22898742554599602,0.8160429496289279,0.8096915666421177,0.4196200080038185,173,4995,208,957
0.91,0.13893805309734514,0.9607918508552759,0.43490304709141275,0.13893805309734514,0.21059691482226695,0.814148113058582,0.8096915666421177,0.4196200080038185,157,4999,204,973
0.92,0.13097345132743363,0.9611762444743417,0.4228571428571429,0.13097345132743363,0.2,0.8130427917258803,0.8096915666421177,0.4196200080038185,148,5001,202,982
0.93,0.11061946902654868,0.9615606380934076,0.38461538461538464,0.11061946902654868,0.1718213058419244,0.8097268277277752,0.8096915666421177,0.4196200080038185,125,5003,200,1005
0.9400000000000001,0.10176991150442478,0.9619450317124736,0.36741214057507987,0.10176991150442478,0.15939015939015938,0.8084636033475446,0.8096915666421177,0.4196200080038185,115,5005,198,1015
0.9500000000000001,0.09469026548672567,0.9629060157601383,0.3566666666666667,0.09469026548672567,0.14965034965034965,0.8079898942049581,0.8096915666421177,0.4196200080038185,107,5010,193,1023
0.96,0.08938053097345133,0.9634826061887373,0.3470790378006873,0.08938053097345133,0.14215341308937368,0.8075161850623717,0.8096915666421177,0.4196200080038185,101,5013,190,1029
0.97,0.08849557522123894,0.9654045742840669,0.35714285714285715,0.08849557522123894,0.14184397163120568,0.808937312490131,0.8096915666421177,0.4196200080038185,100,5023,180,1030
0.98,0.08495575221238938,0.9671343455698636,0.3595505617977528,0.08495575221238938,0.13743736578382248,0.8097268277277752,0.8096915666421177,0.4196200080038185,96,5032,171,1034
0.99,0.08141592920353982,0.9686719200461272,0.3607843137254902,0.08141592920353982,0.1328519855595668,0.8103584399178904,0.8096915666421177,0.4196200080038185,92,5040,163,1038
1.0,0.024778761061946902,0.9886603882375553,0.3218390804597701,0.024778761061946902,0.04601479046836483,0.8166745618190431,0.8096915666421177,0.4196200080038185,28,5144,59,1102
